Participant_ID,Completion_Code,Sex,Age,Musician_type,Excerpt_filename,Filename,Type,Musician,Excerpt,Condition,ConditionCong,PC1,PC2,PC3,PC4,PC5,fact_PC1,fact_PC2,fact_PC3,fact_PC4,fact_PC5,fact_mdn_PC1,fact_mdn_PC2,fact_mdn_PC3,fact_mdn_PC4,fact_mdn_PC5,Liking,Expressivity,GEMMES,GEMMES_Value,GEMMES_Bin
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Pr_T1,03_Ca_Pr_T1.mp3,Audio,03,1CaFl,2Pr,2Pr,1,1,0.174,-0.89202,0.39153,-0.49606,-0.84506,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Interior,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Pr_T1,03_Ca_Pr_T1.mp3,Audio,03,1CaFl,2Pr,2Pr,1,1,0.174,-0.89202,0.39153,-0.49606,-0.84506,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Dp_T2,03_Mo_Dp_T2.mp4,Video,03,5MoWa,1Dp,1Dp,5,3,0.50015,-1.54468,0.06788,-0.51657,0.47611,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low,2High,GEMMES_Flow,3,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Dp_T2,03_Mo_Dp_T2.mp4,Video,03,5MoWa,1Dp,1Dp,5,3,0.50015,-1.54468,0.06788,-0.51657,0.47611,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low,2High,GEMMES_Movement,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Dp_T2,03_Mo_Dp_T2.mp4,Video,03,5MoWa,1Dp,1Dp,5,3,0.50015,-1.54468,0.06788,-0.51657,0.47611,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low,2High,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Dp_T2,03_Mo_Dp_T2.mp4,Video,03,5MoWa,1Dp,1Dp,5,3,0.50015,-1.54468,0.06788,-0.51657,0.47611,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low,2High,GEMMES_Interior,5,1
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Dp_T2,03_Mo_Dp_T2.mp4,Video,03,5MoWa,1Dp,1Dp,5,3,0.50015,-1.54468,0.06788,-0.51657,0.47611,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low,2High,GEMMES_Wandering,7,1
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_In_T1,03_Mo_In_T1.mp4,Video,03,5MoWa,6In,4Incong,4,3,0.3769,-0.32607,0.74531,-0.1618,-0.93919,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Flow,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_In_T1,03_Mo_In_T1.mp4,Video,03,5MoWa,6In,4Incong,4,3,0.3769,-0.32607,0.74531,-0.1618,-0.93919,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Movement,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_In_T1,03_Mo_In_T1.mp4,Video,03,5MoWa,6In,4Incong,4,3,0.3769,-0.32607,0.74531,-0.1618,-0.93919,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Force,0,0
