musician,years,hours,sex,age,filename,excerpt,condition,track,condition_cong,selected,Filename,Subject,Excerpt,Condition,kinEnerg,convexhull,cumuldist,density,speed,acceleration,jerk,directness,distance,fluidity,symmetry,shoulderhead,shoulderpelvis,headpelvis,shoulderheadThreshold,shoulderpelvisThreshold,headpelvisThreshold,norm,sampentrop,corr,cov,sync,SPECTRE_CENTROID,SPECTRE_SPREAD,SPECTRE_SKEWNESS,SPECTRE_KURTOSIS,SPECTRE_FLATNESS,SPECTRE_ENTROPIE,CEPSTRE_MEAN,CEPSTRE_MAX,CEPSTRE_CENTROID,RMS,ROLLOFF,BRIGHTNESS_1000,BRIGHTNESS_1500,BRIGHTNESS_3000,ZEROCROSS,ROUGHNESS,FLUX_DU_SPECTRE,FLUX_DU_CEPSTRE,HCDF,EVENTDENSITY,KEYCLARITY,MODE,PULSECLARITY,METRICAL_CENTROID,METRICAL_STRENGTH,TEMPO,TEMPO_CHANGE,NOVELTY_METRIC,NOVELTY_SPECTRE,NOVELTY_CEPSTRE,NOVELTY_AC_WAVEFORM,NOVELTY_MFCC,NOVELTY_CHROMAGRAM_1,NOVELTY_KEYSTRENGTH_1,NOVELTY_CHROMAGRAM_2,NOVELTY_KEYSTRENGTH_2
M7,10,4,M,23,07_Re_Pr_T1.tsv,4ReIn,2Pr,T1,2Pr,1,07_Re_Pr_T1.tsv,7,Interior_Reveuse,Projected,1.75E-03,3.39E-01,2.64E+00,5.67E-01,4.57E-02,9.28E-02,2.99E-01,7.87E-01,4.89E-01,5.93E-22,9.32E-01,3.55E+01,7.24E+00,2.88E+01,4.06E+01,9.86E+00,3.29E+01,1.43E+00,3.43E-02,6.10E-01,8.62E-05,7.40E-01,2314.7,2790.8,3.1216,15.559,0.10602,0.69305,108.11,2341.7,0.020484,0.015492,3725.2,0.59351,0.4815,0.22949,947.2,0.15631,42.405,54896,0.26175,1,0.61252,-0.08287,0.10096,353.85,0.37595,146.6,-0.0037423,0.24024,0.29744,0.36591,0.2561,0.14817,0.21219,0.18395,0.42561,0.34728
M7,10,4,M,23,07_Re_Pr_T2.tsv,4ReIn,2Pr,T2,2Pr,0,07_Re_Pr_T2.tsv,7,Interior_Reveuse,Projected,2.73E-03,3.46E-01,3.23E+00,5.65E-01,5.66E-02,1.10E-01,3.09E-01,1.58E+00,4.83E-01,-1.09E-21,9.43E-01,3.83E+01,7.67E+00,3.15E+01,4.46E+01,1.20E+01,3.59E+01,1.42E+00,2.85E-02,6.78E-01,2.40E-04,4.45E-01,2294.9,2844.1,3.0892,15.111,0.11336,0.70104,108,2074.9,0.020579,0.011745,3760.2,0.5913,0.47981,0.23106,970.77,0.11698,33.771,54441,0.3033,1,0.61536,-0.08148,0.11627,368.89,0.39817,141.76,-0.0033831,0.30193,0.24718,0.3571,0.37066,0.15057,0.21466,0.17972,0.53382,0.32764
M7,10,4,M,23,07_Re_Wa_T1.tsv,4ReIn,7Wa,T1,5Nothing,0,07_Re_Wa_T1.tsv,7,Interior_Reveuse,Wandering,4.13E-03,3.48E-01,2.47E+00,5.64E-01,5.83E-02,1.42E-01,4.81E-01,1.72E+00,4.99E-01,-5.38E-21,9.74E-01,3.71E+01,8.25E+00,2.83E+01,4.27E+01,1.12E+01,3.54E+01,1.40E+00,3.58E-02,4.90E-01,4.40E-05,8.15E-01,2120.6,2542.9,3.3277,17.958,0.090692,0.6912,108.93,2285.7,0.0201,0.017775,3532.8,0.5648,0.43787,0.20817,797.91,0.34754,56.553,55533,0.37793,1,0.60338,-0.09872,0.11543,349.6,0.36777,180.3,0.0011332,0.30276,0.41728,0.20015,0.37649,0.17464,0.20053,0.18465,0.49489,0.19566
M7,10,4,M,23,07_Re_Wa_T2.tsv,4ReIn,7Wa,T2,5Nothing,0,07_Re_Wa_T2.tsv,7,Interior_Reveuse,Wandering,2.77E-03,3.42E-01,2.75E+00,5.64E-01,5.76E-02,1.24E-01,4.43E-01,1.75E+00,4.85E-01,4.54E-21,9.74E-01,3.57E+01,8.54E+00,2.79E+01,4.25E+01,1.15E+01,3.38E+01,1.42E+00,2.52E-02,2.76E-01,4.69E-05,4.04E-01,2073.4,2492.8,3.3256,18.365,0.084618,0.66823,108.84,2635.9,0.019975,0.023318,3519.3,0.56574,0.44381,0.19703,767.91,0.63288,59.096,55038,0.25814,2,0.60976,-0.099798,0.11581,381.09,0.37933,130.87,0.0026325,0.2716,0.43823,0.22769,0.31255,0.18544,0.29277,0.19453,0.44214,0.16732
M8,13,1,M,25,08_Ca_Dp_T1.tsv,1CaFl,1Dp,T1,1Dp,0,08_Ca_Dp_T1.tsv,8,Flow_Cantabile,Deadpan,4.06E-05,2.59E-01,2.79E-01,5.19E-01,6.34E-03,1.70E-02,1.27E-01,7.01E+00,4.27E-01,-9.25E-22,9.58E-01,4.54E+01,1.66E+00,4.72E+01,4.66E+01,3.01E+00,4.88E+01,1.36E+00,1.86E-02,1.33E-01,1.69E-06,1.67E-01,2904.1,3461.6,2.3724,9.3175,0.11909,0.67409,114.96,3572.4,0.019206,0.018561,5286.4,0.6493,0.54426,0.27405,1371.5,0.051644,41.059,55600,0.56208,2,0.62297,-0.098215,0.17278,305.62,0.40413,152.9,0.0044141,0.2171,0.25733,0.40316,0.33139,0.46549,0.29254,0.14252,0.38218,0.17225
M8,13,1,M,25,08_Ca_Dp_T2.tsv,1CaFl,1Dp,T2,1Dp,0,08_Ca_Dp_T2.tsv,8,Flow_Cantabile,Deadpan,6.34E-05,2.61E-01,3.42E-01,5.19E-01,8.40E-03,2.09E-02,1.48E-01,5.96E+00,4.47E-01,-3.45E-22,9.31E-01,4.64E+01,1.23E+00,4.74E+01,4.82E+01,2.95E+00,4.95E+01,1.35E+00,1.85E-02,2.37E-01,3.95E-06,6.37E-02,2968.6,3419.9,2.3523,9.3071,0.12261,0.67853,114.44,3842.7,0.019158,0.019423,5454.6,0.65248,0.55926,0.2862,1402.9,0.029469,41.914,56058,0.52289,1,0.60915,-0.1044,0.14934,391.07,0.35933,129.85,-0.0078388,0.18663,0.4048,0.32913,0.21846,0.4937,0.34608,0.19899,0.4172,0.152
M8,13,1,M,25,08_Ca_Fl_T1.tsv,1CaFl,3Fl,T1,3Cong,0,08_Ca_Fl_T1.tsv,8,Flow_Cantabile,Flow,3.75E-03,2.68E-01,3.65E+00,5.19E-01,6.83E-02,1.14E-01,3.84E-01,4.77E+00,4.58E-01,-2.07E-21,9.32E-01,5.36E+01,3.55E+00,5.08E+01,5.98E+01,1.05E+01,5.46E+01,1.39E+00,1.23E-02,8.09E-01,2.77E-03,2.86E-01,2812.6,3437.3,2.4728,9.8955,0.13418,0.70248,112.46,3231,0.019347,0.011804,5176,0.60478,0.50937,0.26444,1274.4,0.0027057,32.133,55000,0.49865,1,0.59984,-0.09437,0.1293,316.13,0.39713,169.37,0.00080364,0.28001,0.33004,0.31278,0.30505,0.34447,0.24823,0.17861,0.2904,0.21621
M8,13,1,M,25,08_Ca_Fl_T2.tsv,1CaFl,3Fl,T2,3Cong,0,08_Ca_Fl_T2.tsv,8,Flow_Cantabile,Flow,6.10E-03,2.58E-01,3.41E+00,5.18E-01,8.14E-02,1.28E-01,3.71E-01,4.70E+00,4.59E-01,5.13E-21,9.30E-01,5.36E+01,2.03E+00,5.37E+01,5.98E+01,6.72E+00,5.70E+01,1.34E+00,2.26E-02,2.22E-01,8.53E-05,1.29E-01,2911.2,3522,2.3428,9.1114,0.14352,0.70362,112.72,3203.7,0.0194,0.011089,5725.1,0.60798,0.4978,0.26838,1298.7,0.0097891,30.039,55181,0.52949,1,0.60045,-0.088533,0.14062,332.36,0.45912,144.22,0.00021444,0.28959,0.39233,0.2647,0.31515,0.39977,0.23316,0.15907,0.31338,0.18279
M8,13,1,M,25,08_Ca_Fo_T1.tsv,1CaFl,5Fo,T1,4Incong,0,08_Ca_Fo_T1.tsv,8,Flow_Cantabile,Force,8.99E-03,2.65E-01,4.83E+00,5.08E-01,9.52E-02,1.57E-01,4.80E-01,3.92E+00,4.34E-01,-3.20E-22,8.14E-01,5.48E+01,1.63E+00,5.37E+01,6.13E+01,6.69E+00,5.80E+01,1.45E+00,1.41E-02,8.48E-01,6.84E-03,8.45E-02,3013.7,3493.4,2.2323,8.455,0.12096,0.6957,115.47,4502.8,0.018448,0.020042,5957.9,0.68129,0.57358,0.3006,1410.1,0.054332,56.748,56152,0.36139,1,0.60655,-0.10342,0.15811,292.65,0.38156,185.67,-0.0026889,0.20306,0.19098,0.1959,0.1395,0.31032,0.24185,0.14976,0.44185,0.23018
M8,13,1,M,25,08_Ca_Fo_T2.tsv,1CaFl,5Fo,T2,4Incong,0,08_Ca_Fo_T2.tsv,8,Flow_Cantabile,Force,9.65E-03,2.65E-01,4.65E+00,5.08E-01,9.85E-02,1.73E-01,5.25E-01,3.63E+00,4.36E-01,1.77E-21,9.12E-01,5.44E+01,2.57E+00,5.22E+01,6.03E+01,8.64E+00,5.77E+01,1.35E+00,1.25E-02,8.34E-01,2.98E-03,1.40E-01,2967.7,3472.9,2.2318,8.4259,0.12315,0.69711,116.42,4105.8,0.018544,0.018638,6023.9,0.66278,0.57187,0.30112,1397.2,0.037739,49.446,56350,0.47981,1,0.60466,-0.10246,0.1673,300.05,0.38916,138.47,-0.00023032,0.19661,0.25907,0.27081,0.2239,0.36862,0.40213,0.18217,0.44609,0.20767
